Representative,State,Website,Committee,Party,District
"LaMalfa, Doug",California,https://lamalfa.house.gov/,"Agriculture
Transportation and Infrastructure",Republican,1st
"Huffman, Jared",California,https://huffman.house.gov/,"Climate Crisis
Natural Resources
Transportation and Infrastructure",Democrat,2nd
"Garamendi, John",California,https://garamendi.house.gov/,"Armed Services
Transportation and Infrastructure",Democrat,3rd
"McClintock, Tom",California,https://mcclintock.house.gov/,"Natural Resources
Judiciary",Republican,4th
"Thompson, Mike",California,https://mikethompson.house.gov/,Ways and Means,Democrat,5th
"Matsui, Doris O.",California,https://matsui.house.gov/,"Energy and Commerce
Rules",Democrat,6th
"Bera, Ami",California,https://bera.house.gov/,"Foreign Affairs
Science, Space, and Technology",Democrat,7th
"Cook, Paul",California,https://cook.house.gov/,"Armed Services
Natural Resources",Republican,8th
"McNerney, Jerry",California,https://mcnerney.house.gov/,"Energy and Commerce
Science, Space, and Technology",Democrat,9th
"Harder, Josh",California,https://harder.house.gov/,"Agriculture
Education and Labor",Democrat,10th
"DeSaulnier, Mark",California,https://desaulnier.house.gov/,"Education and Labor
Oversight and Reform
Transportation and Infrastructure",Democrat,11th
"Pelosi, Nancy",California,https://pelosi.house.gov/,,Democrat,12th
"Lee, Barbara",California,https://lee.house.gov/,"Appropriations
Budget",Democrat,13th
"Speier, Jackie",California,https://speier.house.gov/,"Armed Services
Oversight and Reform
Intelligence",Democrat,14th
"Swalwell, Eric",California,https://swalwell.house.gov/,"Intelligence
Judiciary",Democrat,15th
"Costa, Jim",California,https://costa.house.gov/,"Agriculture
Foreign Affairs
Natural Resources",Democrat,16th
"Khanna, Ro",California,https://khanna.house.gov/,"Armed Services
Budget
Oversight and Reform",Democrat,17th
"Eshoo, Anna G.",California,https://eshoo.house.gov/,Energy and Commerce,Democrat,18th
"Lofgren, Zoe",California,https://lofgren.house.gov/,"House Administration
Joint Committee of Congress on the Library
Judiciary
Modernization of Congress
Science, Space, and Technology",Democrat,19th
"Panetta, Jimmy",California,https://panetta.house.gov/,"Agriculture
Budget
Ways and Means",Democrat,20th
"Cox, TJ",California,https://cox.house.gov/,"Agriculture
Natural Resources",Democrat,21st
"Nunes, Devin",California,https://nunes.house.gov/,"Intelligence
Joint Committee on Taxation
Ways and Means",Republican,22nd
"McCarthy, Kevin",California,https://kevinmccarthy.house.gov/,,Republican,23rd
"Carbajal, Salud",California,https://carbajal.house.gov/,"Agriculture
Armed Services
Transportation and Infrastructure",Democrat,24th
"Garcia, Mike",California,https://mikegarcia.house.gov/,,Republican,25th
"Brownley, Julia",California,https://juliabrownley.house.gov/,"Climate Crisis
Transportation and Infrastructure
Veterans' Affairs",Democrat,26th
"Chu, Judy",California,https://chu.house.gov/,"Small Business
Ways and Means",Democrat,27th
"Schiff, Adam",California,https://schiff.house.gov/,Intelligence,Democrat,28th
"Cárdenas, Tony",California,https://cardenas.house.gov/,Energy and Commerce,Democrat,29th
"Sherman, Brad",California,https://sherman.house.gov/,"Financial Services
Foreign Affairs
Science, Space, and Technology",Democrat,30th
"Aguilar, Pete",California,https://aguilar.house.gov/,"Appropriations
House Administration",Democrat,31st
"Napolitano, Grace",California,https://napolitano.house.gov/,"Natural Resources
Transportation and Infrastructure",Democrat,32nd
"Lieu, Ted",California,https://lieu.house.gov/,"Foreign Affairs
Judiciary",Democrat,33rd
"Gomez, Jimmy",California,https://gomez.house.gov/,"Oversight and Reform
Ways and Means",Democrat,34th
"Torres, Norma",California,https://torres.house.gov/,"Appropriations
Rules",Democrat,35th
"Ruiz, Raul",California,https://ruiz.house.gov/,Energy and Commerce,Democrat,36th
"Bass, Karen",California,https://bass.house.gov/,"Foreign Affairs
Judiciary",Democrat,37th
"Sánchez, Linda",California,https://lindasanchez.house.gov/,Ways and Means,Democrat,38th
"Cisneros, Gilbert Ray Jr.",California,https://cisneros.house.gov/,"Armed Services
Veterans' Affairs",Democrat,39th
"Roybal-Allard, Lucille",California,https://roybal-allard.house.gov/,Appropriations,Democrat,40th
"Takano, Mark",California,https://takano.house.gov/,"Education and Labor
Veterans' Affairs",Democrat,41st
"Calvert, Ken",California,https://calvert.house.gov/,Appropriations,Republican,42nd
"Waters, Maxine",California,https://waters.house.gov/,"Financial Services
Select Subcommittee on the Coronavirus Crisis",Democrat,43rd
"Barragán, Nanette",California,https://barragan.house.gov/,"Homeland Security
Energy and Commerce",Democrat,44th
"Porter, Katie",California,https://porter.house.gov/,"Financial Services
Oversight and Reform",Democrat,45th
"Correa, J. Luis",California,https://correa.house.gov/,"Homeland Security
Judiciary",Democrat,46th
"Lowenthal, Alan",California,https://lowenthal.house.gov/,"Natural Resources
Transportation and Infrastructure",Democrat,47th
"Rouda, Harley",California,https://rouda.house.gov/,"Oversight and Reform
Transportation and Infrastructure",Democrat,48th
"Levin, Mike",California,https://mikelevin.house.gov/,"Climate Crisis
Natural Resources
Veterans' Affairs",Democrat,49th
"Hunter, Duncan - Vacancy",California,https://clerk.house.gov/members/CA50/vacancy,,Republican,50th
"Vargas, Juan",California,https://vargas.house.gov/,"Financial Services
Foreign Affairs",Democrat,51st
"Peters, Scott",California,https://scottpeters.house.gov/,"Budget
Energy and Commerce",Democrat,52nd
"Davis, Susan",California,https://susandavis.house.gov/,"Armed Services
Education and Labor
House Administration",Democrat,53rd
